draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
192,9756.233,0.659,0.731,1.0,1.0,0.0,-9756.199,4.6,-0.219
193,9759.552,0.957,0.691,3.0,7.0,0.0,-9758.666,4.594,-0.347
194,9757.584,0.869,0.753,2.0,3.0,0.0,-9757.205,4.56,-0.252
195,9759.56,0.998,0.664,1.0,1.0,0.0,-9759.553,4.589,-0.301
196,9757.709,0.88,0.731,2.0,3.0,0.0,-9754.226,4.598,-0.413
197,9757.062,0.718,0.691,2.0,3.0,0.0,-9756.313,4.6,-0.427
198,9749.81,0.164,0.753,2.0,3.0,0.0,-9747.685,4.518,-0.345
199,9759.412,0.923,0.664,2.0,7.0,0.0,-9758.25,4.612,-0.314
200,9759.527,0.99,0.731,2.0,7.0,0.0,-9757.184,4.596,-0.353
201,9756.016,0.813,0.691,1.0,1.0,0.0,-9755.79,4.593,-0.437
202,9757.3,1.0,0.753,2.0,3.0,0.0,-9750.307,4.554,-0.263
203,9758.864,0.896,0.664,1.0,1.0,0.0,-9758.853,4.62,-0.306
204,9759.475,0.972,0.731,2.0,7.0,0.0,-9758.888,4.615,-0.359
205,9759.129,0.887,0.691,2.0,3.0,0.0,-9754.937,4.622,-0.372
206,9757.928,0.999,0.753,2.0,3.0,0.0,-9757.047,4.571,-0.244
207,9759.462,0.954,0.664,2.0,3.0,0.0,-9758.313,4.605,-0.302
208,9758.838,0.809,0.731,1.0,3.0,0.0,-9757.933,4.62,-0.305
209,9759.612,0.968,0.691,1.0,3.0,0.0,-9758.63,4.605,-0.356
210,9757.702,0.955,0.753,1.0,1.0,0.0,-9757.568,4.574,-0.236
211,9759.364,0.979,0.664,1.0,1.0,0.0,-9759.316,4.608,-0.301
212,9759.704,0.925,0.731,1.0,3.0,0.0,-9758.281,4.597,-0.34
213,9759.396,0.871,0.691,3.0,7.0,0.0,-9756.083,4.593,-0.356
214,9759.498,0.973,0.753,2.0,3.0,0.0,-9757.461,4.6,-0.36
215,9758.706,0.957,0.664,2.0,3.0,0.0,-9758.7,4.614,-0.288
216,9757.883,0.771,0.731,2.0,3.0,0.0,-9757.433,4.601,-0.412
217,9759.721,1.0,0.691,2.0,3.0,0.0,-9759.453,4.607,-0.331
218,9759.009,0.971,0.753,2.0,3.0,0.0,-9758.98,4.627,-0.346
219,9759.106,0.849,0.664,1.0,3.0,0.0,-9756.166,4.577,-0.293
220,9758.326,1.0,0.731,3.0,7.0,0.0,-9757.819,4.609,-0.407
221,9756.592,0.536,0.691,1.0,3.0,0.0,-9755.726,4.637,-0.289
222,9759.267,0.984,0.753,3.0,7.0,0.0,-9758.439,4.581,-0.293
223,9759.24,0.925,0.664,3.0,7.0,0.0,-9757.966,4.579,-0.295
224,9756.445,0.875,0.731,3.0,7.0,0.0,-9753.546,4.545,-0.264
225,9759.584,1.0,0.691,2.0,3.0,0.0,-9756.668,4.588,-0.31
226,9759.223,0.988,0.753,3.0,7.0,0.0,-9759.035,4.59,-0.28
227,9759.723,0.905,0.664,3.0,7.0,0.0,-9758.541,4.599,-0.34
228,9756.852,1.0,0.731,3.0,7.0,0.0,-9756.326,4.549,-0.26
229,9759.4,0.925,0.691,3.0,7.0,0.0,-9758.596,4.598,-0.362
230,9758.946,0.979,0.753,2.0,3.0,0.0,-9758.722,4.575,-0.282
231,9757.274,0.749,0.664,3.0,7.0,0.0,-9756.51,4.568,-0.366
232,9758.785,0.973,0.731,2.0,3.0,0.0,-9756.56,4.571,-0.291
233,9759.467,1.0,0.691,2.0,7.0,0.0,-9759.396,4.611,-0.314
234,9758.953,0.95,0.753,2.0,3.0,0.0,-9758.371,4.574,-0.319
235,9758.522,1.0,0.664,1.0,1.0,0.0,-9757.439,4.579,-0.358
236,9756.483,0.738,0.731,2.0,7.0,0.0,-9756.204,4.55,-0.324
237,9759.724,0.887,0.691,3.0,7.0,0.0,-9757.697,4.602,-0.344
238,9759.41,1.0,0.753,2.0,3.0,0.0,-9758.983,4.598,-0.291
239,9758.802,0.989,0.664,2.0,3.0,0.0,-9758.192,4.606,-0.277
240,9756.746,0.994,0.731,3.0,7.0,0.0,-9755.703,4.611,-0.24
241,9756.22,0.688,0.691,2.0,3.0,0.0,-9755.458,4.548,-0.323
242,9758.428,0.658,0.753,3.0,7.0,0.0,-9756.093,4.609,-0.272
243,9759.187,1.0,0.664,2.0,3.0,0.0,-9758.836,4.601,-0.284
244,9758.424,1.0,0.731,1.0,1.0,0.0,-9757.096,4.603,-0.264
245,9756.687,1.0,0.691,3.0,7.0,0.0,-9755.905,4.549,-0.306
246,9758.966,0.974,0.753,3.0,7.0,0.0,-9757.211,4.622,-0.317
247,9758.766,0.969,0.664,2.0,3.0,0.0,-9758.568,4.571,-0.316
248,9759.306,1.0,0.731,2.0,3.0,0.0,-9758.144,4.6,-0.369
249,9757.4,1.0,0.691,2.0,3.0,0.0,-9756.518,4.556,-0.316
250,9759.703,0.992,0.753,2.0,3.0,0.0,-9758.886,4.608,-0.343
251,9758.9,0.998,0.664,3.0,7.0,0.0,-9758.338,4.605,-0.388
252,9759.234,0.986,0.731,2.0,7.0,0.0,-9758.677,4.594,-0.281
253,9756.958,0.904,0.691,1.0,1.0,0.0,-9756.672,4.555,-0.327
254,9758.407,0.904,0.753,2.0,3.0,0.0,-9758.349,4.634,-0.386
255,9758.588,0.974,0.664,2.0,3.0,0.0,-9758.008,4.623,-0.399
256,9758.906,0.939,0.731,1.0,1.0,0.0,-9758.893,4.596,-0.271
257,9755.334,0.975,0.691,3.0,7.0,0.0,-9754.294,4.663,-0.401
258,9758.491,0.999,0.753,2.0,3.0,0.0,-9758.287,4.634,-0.378
259,9759.624,0.869,0.664,3.0,7.0,0.0,-9756.628,4.599,-0.351
260,9759.474,0.947,0.731,3.0,7.0,0.0,-9756.372,4.613,-0.32
261,9752.547,0.94,0.691,2.0,3.0,0.0,-9751.963,4.679,-0.445
262,9755.831,0.551,0.753,3.0,7.0,0.0,-9753.662,4.546,-0.326
263,9758.676,0.871,0.664,1.0,3.0,0.0,-9756.931,4.623,-0.395
264,9759.611,0.954,0.731,3.0,7.0,0.0,-9757.855,4.6,-0.353
265,9758.29,1.0,0.691,2.0,3.0,0.0,-9752.677,4.636,-0.383
266,9756.556,0.844,0.753,2.0,3.0,0.0,-9753.016,4.65,-0.336
267,9758.809,0.989,0.664,2.0,7.0,0.0,-9757.949,4.582,-0.265
268,9759.131,0.966,0.731,2.0,3.0,0.0,-9758.981,4.603,-0.379
269,9755.233,0.736,0.691,2.0,7.0,0.0,-9754.848,4.662,-0.356
270,9757.986,1.0,0.753,2.0,7.0,0.0,-9756.518,4.598,-0.406
271,9758.531,0.957,0.664,3.0,7.0,0.0,-9758.115,4.633,-0.341
272,9758.912,0.895,0.731,2.0,3.0,0.0,-9757.977,4.59,-0.37
273,9755.477,1.0,0.691,1.0,1.0,0.0,-9754.696,4.66,-0.356
274,9759.774,1.0,0.753,2.0,3.0,0.0,-9758.03,4.601,-0.332
275,9759.044,0.925,0.664,3.0,7.0,0.0,-9757.736,4.623,-0.327
276,9759.61,0.905,0.731,2.0,7.0,0.0,-9757.829,4.604,-0.309
277,9757.324,0.851,0.691,2.0,3.0,0.0,-9753.262,4.647,-0.363
278,9758.452,0.787,0.753,2.0,3.0,0.0,-9758.216,4.599,-0.396
279,9759.235,0.986,0.664,2.0,7.0,0.0,-9758.737,4.588,-0.353
280,9759.138,0.885,0.731,2.0,3.0,0.0,-9758.663,4.618,-0.314
281,9758.75,1.0,0.691,2.0,3.0,0.0,-9757.161,4.596,-0.384
282,9758.989,1.0,0.753,1.0,1.0,0.0,-9758.529,4.603,-0.384
283,9759.617,0.936,0.664,1.0,3.0,0.0,-9758.514,4.594,-0.303
284,9759.077,0.77,0.731,2.0,7.0,0.0,-9757.22,4.587,-0.358
285,9759.09,1.0,0.691,1.0,1.0,0.0,-9758.771,4.598,-0.376
286,9759.143,0.892,0.753,2.0,3.0,0.0,-9757.616,4.624,-0.346
287,9759.676,0.873,0.664,2.0,3.0,0.0,-9758.476,4.61,-0.337
288,9759.365,0.976,0.731,2.0,3.0,0.0,-9758.547,4.608,-0.372
289,9758.787,0.897,0.691,3.0,7.0,0.0,-9757.501,4.575,-0.273
290,9757.978,0.939,0.753,3.0,7.0,0.0,-9757.921,4.56,-0.302
291,9759.061,0.891,0.664,2.0,3.0,0.0,-9758.839,4.615,-0.302
292,9758.444,0.953,0.731,2.0,3.0,0.0,-9758.39,4.633,-0.387
293,9759.023,0.992,0.691,2.0,3.0,0.0,-9758.552,4.575,-0.293
294,9758.595,1.0,0.753,2.0,3.0,0.0,-9757.334,4.6,-0.265
295,9758.039,0.882,0.664,2.0,3.0,0.0,-9756.807,4.639,-0.352
296,9759.576,0.978,0.731,2.0,7.0,0.0,-9757.691,4.588,-0.308
297,9759.655,1.0,0.691,2.0,7.0,0.0,-9758.965,4.602,-0.311
298,9756.925,0.843,0.753,2.0,3.0,0.0,-9756.157,4.589,-0.417
299,9759.337,1.0,0.664,2.0,3.0,0.0,-9758.184,4.609,-0.373
300,9758.494,0.89,0.731,2.0,3.0,0.0,-9758.359,4.566,-0.299
301,9758.914,0.663,0.691,2.0,3.0,0.0,-9755.825,4.627,-0.373
302,9758.414,1.0,0.753,1.0,1.0,0.0,-9757.214,4.599,-0.397
303,9759.61,1.0,0.664,2.0,3.0,0.0,-9759.269,4.612,-0.331
304,9759.293,0.996,0.731,3.0,7.0,0.0,-9757.943,4.613,-0.308
305,9759.211,0.987,0.691,2.0,5.0,0.0,-9758.501,4.578,-0.302
306,9759.276,1.0,0.753,2.0,3.0,0.0,-9758.376,4.616,-0.374
307,9758.812,0.915,0.664,2.0,7.0,0.0,-9758.794,4.595,-0.381
308,9759.306,0.989,0.731,2.0,3.0,0.0,-9758.924,4.58,-0.303
