draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
226,4339.606,0.884,0.579,2.0,7.0,0.0,-4338.611,3.487,-0.015
227,4339.77,1.0,0.756,2.0,3.0,0.0,-4338.957,3.495,-0.029
228,4338.886,0.938,0.653,1.0,1.0,0.0,-4338.823,3.492,0.047
229,4339.924,0.955,0.606,2.0,7.0,0.0,-4339.531,3.53,-0.021
230,4339.679,0.984,0.579,2.0,3.0,0.0,-4339.432,3.518,0.007
231,4336.948,0.494,0.756,1.0,3.0,0.0,-4336.765,3.48,-0.082
232,4338.251,0.951,0.653,3.0,7.0,0.0,-4338.182,3.498,0.059
233,4338.676,0.939,0.606,2.0,7.0,0.0,-4337.693,3.469,0.043
234,4338.702,0.955,0.579,2.0,7.0,0.0,-4338.24,3.509,0.042
235,4338.102,1.0,0.756,2.0,3.0,0.0,-4337.208,3.527,0.037
236,4337.883,1.0,0.653,2.0,3.0,0.0,-4337.425,3.452,0.033
237,4338.449,0.97,0.606,1.0,1.0,0.0,-4338.404,3.462,0.039
238,4339.689,1.0,0.579,2.0,3.0,0.0,-4338.588,3.502,-0.048
239,4338.109,0.732,0.756,2.0,3.0,0.0,-4333.396,3.513,-0.108
240,4339.404,1.0,0.653,2.0,3.0,0.0,-4337.693,3.507,0.025
241,4339.438,0.956,0.606,2.0,3.0,0.0,-4338.034,3.481,-0.005
242,4339.751,0.939,0.579,2.0,3.0,0.0,-4338.97,3.503,-0.047
243,4339.931,0.909,0.756,2.0,3.0,0.0,-4338.044,3.533,-0.028
244,4339.821,0.995,0.653,2.0,3.0,0.0,-4339.378,3.494,0.002
245,4337.896,0.823,0.606,3.0,7.0,0.0,-4335.692,3.453,0.024
246,4339.772,0.991,0.579,2.0,7.0,0.0,-4339.151,3.544,-0.069
247,4339.515,0.956,0.756,2.0,3.0,0.0,-4339.459,3.543,-0.026
248,4340.092,0.99,0.653,2.0,7.0,0.0,-4339.558,3.511,-0.012
