draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
206,11327.063,0.882,0.673,2.0,3.0,0.0,-11326.749,4.584,-1.094
207,11327.73,0.996,0.728,3.0,7.0,0.0,-11326.047,4.604,-1.1
208,11327.713,0.944,0.656,2.0,5.0,0.0,-11327.301,4.612,-1.089
209,11327.484,0.947,0.646,2.0,5.0,0.0,-11326.651,4.614,-1.077
210,11327.036,0.983,0.673,3.0,7.0,0.0,-11326.152,4.594,-1.039
211,11327.669,0.714,0.728,2.0,3.0,0.0,-11325.554,4.604,-1.068
212,11327.742,0.978,0.656,3.0,7.0,0.0,-11327.07,4.601,-1.069
213,11327.458,1.0,0.646,3.0,7.0,0.0,-11327.331,4.601,-1.056
214,11327.41,0.985,0.673,3.0,7.0,0.0,-11325.818,4.582,-1.065
215,11327.815,0.981,0.728,2.0,3.0,0.0,-11327.514,4.606,-1.084
216,11326.647,0.944,0.656,2.0,7.0,0.0,-11326.132,4.621,-1.14
217,11327.52,0.992,0.646,2.0,3.0,0.0,-11327.198,4.589,-1.055
218,11326.946,0.974,0.673,2.0,3.0,0.0,-11326.888,4.586,-1.034
219,11327.683,0.994,0.728,2.0,3.0,0.0,-11327.664,4.609,-1.104
220,11327.393,0.923,0.656,2.0,3.0,0.0,-11325.785,4.621,-1.101
221,11327.723,0.985,0.646,2.0,7.0,0.0,-11327.291,4.605,-1.072
222,11324.894,0.831,0.673,1.0,3.0,0.0,-11323.402,4.56,-1.001
223,11327.716,0.979,0.728,3.0,7.0,0.0,-11327.239,4.604,-1.101
224,11325.544,0.863,0.656,2.0,7.0,0.0,-11323.979,4.644,-1.139
225,11326.203,0.877,0.646,2.0,3.0,0.0,-11325.867,4.609,-1.145
226,11325.964,0.5,0.673,2.0,5.0,0.0,-11319.701,4.636,-1.146
227,11326.955,0.929,0.728,2.0,3.0,0.0,-11326.736,4.62,-1.132
228,11325.901,1.0,0.656,1.0,1.0,0.0,-11325.496,4.641,-1.134
229,11326.966,1.0,0.646,2.0,3.0,0.0,-11326.184,4.62,-1.132
230,11326.064,0.998,0.673,2.0,3.0,0.0,-11325.825,4.631,-1.15
231,11326.609,0.787,0.728,3.0,7.0,0.0,-11324.679,4.59,-1.118
232,11325.098,0.834,0.656,1.0,1.0,0.0,-11325.02,4.649,-1.125
233,11327.765,1.0,0.646,2.0,7.0,0.0,-11326.876,4.605,-1.098
234,11327.334,0.923,0.673,2.0,7.0,0.0,-11325.286,4.59,-1.046
235,11326.518,0.938,0.728,1.0,3.0,0.0,-11324.155,4.621,-1.143
236,11327.152,0.913,0.656,2.0,7.0,0.0,-11322.341,4.59,-1.04
237,11327.826,0.945,0.646,3.0,7.0,0.0,-11326.815,4.604,-1.082
238,11326.974,0.94,0.673,1.0,1.0,0.0,-11326.959,4.589,-1.035
239,11326.746,0.991,0.728,2.0,7.0,0.0,-11325.817,4.583,-1.029
240,11326.531,0.985,0.656,2.0,3.0,0.0,-11326.324,4.58,-1.024
241,11327.337,0.917,0.646,2.0,3.0,0.0,-11327.21,4.609,-1.062
